Metadata_Plate	Metadata_Well	n
WTClones	B02	22129
WTClones	B03	21002
WTClones	B04	22375
WTClones	B05	14484
WTClones	B06	13674
WTClones	B07	12986
WTClones	B08	11186
WTClones	B09	14005
WTClones	B10	12191
WTClones	B11	34060
WTClones	C02	20095
WTClones	C03	19893
WTClones	C04	18725
WTClones	C05	14712
WTClones	C06	13008
WTClones	C07	14022
WTClones	C08	14299
WTClones	C09	14662
WTClones	C10	14610
WTClones	C11	31807
WTClones	D02	15468
WTClones	D03	15306
WTClones	D04	13884
WTClones	D05	16394
WTClones	D06	16665
WTClones	D07	15560
WTClones	D08	13733
WTClones	D09	14043
WTClones	D10	12359
WTClones	D11	26728
WTClones	E02	13928
WTClones	E03	15035
WTClones	E04	15242
WTClones	E05	15034
WTClones	E06	16806
WTClones	E07	15380
WTClones	E08	15498
WTClones	E09	14612
WTClones	E10	9494
WTClones	F02	13119
WTClones	F03	16492
WTClones	F04	15180
WTClones	F05	26641
WTClones	F06	31966
WTClones	F07	33226
WTClones	F08	14404
WTClones	F09	13705
WTClones	F10	12347
